county_name,FIPS,rep,Birthdate,party,dis,phone,start,end,helper,salary,ops,staff,travel,totals,staffsize,fulltimestafftotal,staffavg,FullTerm,,AdjOps,AdjStaff,AdjTravel,AdjTotal,AdjStaffTotal,AdjStaffAverage
New York,61,Jerry Nadler,6/13/1947,Democrat,district 12,(212) 367-7350,11/3/1992,"Thursday, November 5, 2026",1,174000,328517,1434641.93,57975.76,1821134.69,12,657800,54816.66667,Yes,12,328517,1434641.93,57975.76,1821134.69,657800,54816.66667
Kings,47,Nydia Velázquez,3/28/1953,Democrat,district 7,(718) 599-3658,1/3/1993,"Thursday, November 5, 2026",1,174000,327615,1329769.51,26944.31,1684328.82,14,696125,49723.21429,Yes,12,327615,1329769.51,26944.31,1684328.82,696125,49723.21429
Queens,81,Nydia Velázquez,3/28/1953,Democrat,district 7,(718) 599-3658,1/3/1993,"Thursday, November 5, 2026",0,174000,327615,1329769.51,26944.31,1684328.82,14,696125,49723.21429,Yes,12,327615,1329769.51,26944.31,1684328.82,696125,49723.21429
Queens,81,Gregory Meeks,9/25/1953,Democrat,district 5,(718) 725-6000,2/5/1998,"Thursday, November 5, 2026",1,174000,473884,1446875.38,13923.38,1934682.76,10,553700,55370,Yes,12,473884,1446875.38,13923.38,1934682.76,553700,55370
Erie,29,Tim Kennedy,10/20/1976,Democrat,district 26,(716) 852-3501,5/6/2024,"Thursday, November 5, 2026",1,174000,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Niagara,63,Tim Kennedy,6/23/1978,Democrat,district 26,(716) 852-3501,5/6/2024,"Thursday, November 5, 2026",0,174000,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Kings,47,Yvette Clarke,11/21/1964,Democrat,district 9,(718) 287-1142,1/3/2007,"Thursday, November 5, 2026",1,174000,281071,1386238.39,19970.88,1687280.27,10,544379,54437.9,Yes,12,281071,1386238.39,19970.88,1687280.27,544379,54437.9
Albany,1,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",1,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Rensselaer,83,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Saratoga,91,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Schenectady,93,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Queens,81,Grace Meng,10/1/1975,Democrat,district 6,(718) 358-6364,1/3/2013,"Thursday, November 5, 2026",1,174000,253245,1479210.26,35016.38,1767471.64,12,596833,49736.08333,Yes,12,253245,1479210.26,35016.38,1767471.64,596833,49736.08333
Kings,47,Hakeem Jeffries,8/4/1970,Democrat,district 8,(718) 237-2211,1/3/2013,"Thursday, November 5, 2026",1,193400,505858,1256552.69,63244.76,1825655.45,12,578167,48180.58333,Yes,12,505858,1256552.69,63244.76,1825655.45,578167,48180.58333
Queens,81,Hakeem Jeffries,8/4/1970,Democrat,district 8,(718) 237-2211,1/3/2013,"Thursday, November 5, 2026",0,193400,505858,1256552.69,63244.76,1825655.45,12,578167,48180.58333,Yes,12,505858,1256552.69,63244.76,1825655.45,578167,48180.58333
Clinton,19,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",1,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Essex,31,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Franklin,33,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Fulton,35,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Hamilton,41,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Herkimer,43,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Jefferson,45,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Lewis,49,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Montgomery,57,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Otsego,77,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Rensselaer,83,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Schoharie,95,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
St. Lawrence,89,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Warren,113,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Washington,115,Elise Stefanik,7/2/1984,Republican,district 21,(518) 561-2324,1/3/2015,"Thursday, November 5, 2026",0,174000,228852,1377003.19,83199.33,1689054.52,9,503750,55972.22222,Yes,12,228852,1377003.19,83199.33,1689054.52,503750,55972.22222
Bronx,5,Adriano Espaillat,8/27/1954,Democrat,district 13,(646) 740-3632,1/3/2017,"Thursday, November 5, 2026",1,174000,339261,1489666,36509,1865436,16,1268210,79263.125,Yes,12,339261,1489666,36509,1865436,1268210,79263.125
New York,61,Adriano Espaillat,8/27/1954,Democrat,district 13,(212) 663-3900,1/3/2017,"Thursday, November 5, 2026",0,174000,339261,1489666,36509,1865436,16,1268210,79263.125,Yes,12,339261,1489666,36509,1865436,1268210,79263.125
Monroe,55,Joe Morelle,4/29/1957,Democrat,district 25,(585) 232-4850,11/13/2018,"Thursday, November 5, 2026",1,174000,202191,1505643.13,56300.76,1764134.89,12,570250,47520.83333,Yes,12,202191,1505643.13,56300.76,1764134.89,570250,47520.83333
Orleans,73,Joe Morelle,4/29/1957,Democrat,district 25,(585) 232-4850,11/13/2018,"Thursday, November 5, 2026",0,174000,202191,1505643.13,56300.76,1764134.89,12,570250,47520.83333,Yes,12,202191,1505643.13,56300.76,1764134.89,570250,47520.83333
Bronx,5,Alexandria Ocasio-Cortez,10/13/1989,Democrat,district 14,(718) 662-5970,1/3/2019,"Thursday, November 5, 2026",1,174000,278974,1394639,53978,1727591,11,512428,46584.36364,Yes,12,278974,1394639,53978,1727591,512428,46584.36364
Queens,81,Alexandria Ocasio-Cortez,10/13/1989,Democrat,district 14,(718) 662-5970,1/3/2019,"Thursday, November 5, 2026",0,174000,278974,1394639,53978,1727591,11,512428,46584.36364,Yes,12,278974,1394639,53978,1727591,512428,46584.36364
Nassau,59,Andrew Garbarino,9/27/1984,Republican,district 2,(631) 541-4225,1/3/2023,"Thursday, November 5, 2026",1,174000,315877,1259126.71,55033.92,1630037.63,11,631817,57437.90909,No,8,473815.5,1888690.065,82550.88,2445056.445,947725.5,86156.86364
Suffolk,103,Andrew Garbarino,9/27/1984,Republican,district 2,(631) 541-4225,1/3/2023,"Thursday, November 5, 2026",0,174000,315877,1259126.71,55033.92,1630037.63,11,631817,57437.90909,No,8,473815.5,1888690.065,82550.88,2445056.445,947725.5,86156.86364
Cayuga,11,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",1,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Genesee,37,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Jefferson,45,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Livingston,51,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Niagara,63,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Ontario,69,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Orleans,73,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Oswego,75,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Seneca,99,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Wayne,117,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Wyoming,121,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Yates,123,Claudia Tenney,2/4/1961,Republican,district 24,(716) 514-5130,2/11/2021,"Thursday, November 5, 2026",0,174000,373151,1337606.93,71823.76,1782581.69,11,568160,51650.90909,Yes,12,373151,1337606.93,71823.76,1782581.69,568160,51650.90909
Bronx,5,George Latimer,11/22/1953,Democrat,district 16,(914) 323-5550,1/3/2025,"Thursday, November 5, 2026",1,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Westchester,119,George Latimer,11/22/1953,Democrat,district 16,(914) 323-5550,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Kings,47,Nicole Malliotakis,11/11/1980,Republican,district 11,(718) 568-2870,1/3/2023,"Thursday, November 5, 2026",1,174000,480817,1199571.8,45061.54,1725450.34,8,368875,46109.375,No,8,721225.5,1799357.7,67592.31,2588175.51,553312.5,69164.0625
Richmond,85,Nicole Malliotakis,11/11/1980,Republican,district 11,(718) 568-2870,1/3/2023,"Thursday, November 5, 2026",0,174000,480817,1199571.8,45061.54,1725450.34,8,368875,46109.375,No,8,721225.5,1799357.7,67592.31,2588175.51,553312.5,69164.0625
Bronx,5,Ritchie Torres,3/12/1988,Democrat,district 15,(718) 503-9610,1/3/2023,"Thursday, November 5, 2026",1,174000,519654,1170960.74,44564.32,1735179.06,7,378550,54078.57143,No,8,779481,1756441.11,66846.48,2602768.59,567825,81117.85714
Dutchess,27,Pat Ryan,3/28/1982,Democrat,district 18,(845) 443-2930,9/13/2022,"Thursday, November 5, 2026",1,174000,295102,1390835.97,46411.59,1732349.56,12,605311,50442.58333,Yes,12,295102,1390835.97,46411.59,1732349.56,605311,50442.58333
Orange,71,Pat Ryan,3/28/1982,Democrat,district 18,(845) 443-2930,9/13/2022,"Thursday, November 5, 2026",0,174000,295102,1390835.97,46411.59,1732349.56,12,605311,50442.58333,Yes,12,295102,1390835.97,46411.59,1732349.56,605311,50442.58333
Ulster,111,Pat Ryan,3/28/1982,Democrat,district 18,(845) 443-2930,9/13/2022,"Thursday, November 5, 2026",0,174000,295102,1390835.97,46411.59,1732349.56,12,605311,50442.58333,Yes,12,295102,1390835.97,46411.59,1732349.56,605311,50442.58333
Nassau,59,Laura Gillen,7/10/1969,Democrat,district 4,(516) 739-3008,1/3/2025,"Thursday, November 5, 2026",1,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Madison,53,John Mannion,7/8/1968,Democrat,district 22,(315) 233-4333,1/3/2025,"Thursday, November 5, 2026",1,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Oneida,65,John Mannion,7/8/1968,Democrat,district 22,(315) 233-4333,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Onondaga,67,John Mannion,7/8/1968,Democrat,district 22,(315) 233-4333,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Oswego,75,John Mannion,7/8/1968,Democrat,district 22,(315) 233-4333,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Kings,47,Dan Goldman,2/26/1976,Democrat,district 10,(202) 225-7944,1/3/2023,"Thursday, November 5, 2026",1,174000,318813,1537975.19,37188.19,1893976.38,13,622281,47867.76923,No,8,478219.5,2306962.785,55782.285,2840964.57,933421.5,71801.65385
New York,61,Dan Goldman,2/26/1976,Democrat,district 10,(202) 225-7944,1/3/2023,"Thursday, November 5, 2026",0,174000,318813,1537975.19,37188.19,1893976.38,13,622281,47867.76923,No,8,478219.5,2306962.785,55782.285,2840964.57,933421.5,71801.65385
Broome,7,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",1,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Chenango,17,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Columbia,21,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Cortland,23,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Delaware,25,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Greene,39,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Otsego,77,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Sullivan,105,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Tioga,107,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Tompkins,109,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Ulster,111,Josh Riley,1/21/1981,Democrat,district 19,(607) 242-0200,1/3/2025,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Dutchess,27,Mike Lawler,9/9/1986,Republican,district 17,(845) 201-2060,1/3/2023,"Thursday, November 5, 2026",1,174000,486653,1229775.08,63853.24,1780281.32,9,430667,47851.88889,No,8,729979.5,1844662.62,95779.86,2670421.98,646000.5,71777.83333
Putnam,79,Mike Lawler,9/9/1986,Republican,district 17,(845) 201-2060,1/3/2023,"Thursday, November 5, 2026",0,174000,486653,1229775.08,63853.24,1780281.32,9,430667,47851.88889,No,8,729979.5,1844662.62,95779.86,2670421.98,646000.5,71777.83333
Rockland,87,Mike Lawler,9/9/1986,Republican,district 17,(845) 201-2060,1/3/2023,"Thursday, November 5, 2026",0,174000,486653,1229775.08,63853.24,1780281.32,9,430667,47851.88889,No,8,729979.5,1844662.62,95779.86,2670421.98,646000.5,71777.83333
Westchester,119,Mike Lawler,9/9/1986,Republican,district 17,(845) 201-2060,1/3/2023,"Thursday, November 5, 2026",0,174000,486653,1229775.08,63853.24,1780281.32,9,430667,47851.88889,No,8,729979.5,1844662.62,95779.86,2670421.98,646000.5,71777.83333
Suffolk,103,Nick LaLota,6/23/1978,Republican,district 1,(202) 225-3826,1/3/2023,"Thursday, November 5, 2026",1,174000,587794,1179183.77,72993.43,1839971.2,6,346653,57775.5,No,8,881691,1768775.655,109490.145,2759956.8,519979.5,86663.25
Allegany,3,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",1,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Cattaraugus,9,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Chautauqua,13,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Chemung,15,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Erie,29,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Schuyler,97,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Steuben,101,Nick Langworthy,2/27/1981,Republican,district 23,(716) 488-8111,1/3/2023,"Thursday, November 5, 2026",0,174000,487223,1064944.56,58840.43,1611007.99,5,303000,60600,No,8,730834.5,1597416.84,88260.645,2416511.985,454500,90900
Nassau,59,Thomas Suozzi,8/31/1962,Democrat,district 3,(718) 631-0400,2/28/2024,"Thursday, November 5, 2026",1,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Queens,81,Thomas Suozzi,8/31/1962,Democrat,district 3,(718) 631-0400,2/28/2024,"Thursday, November 5, 2026",0,174000,NA,NA,NA,0,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
BENCHMARKS,,,,,,,,,,189308.3333,305446.25,1128065.953,41261.48125,1474773.684,8.833333333,474339.0417,44556.30199,0,8.833333333,372046.8958,1308097.991,49126.79521,1729271.683,538544.1042,52300.48978
Totals,,,,,,,,,24,4543400,7330710,27073582.87,990275.55,35394568.42,212,11384137,1069351.248,0,212,8929125.5,31394351.8,1179043.085,41502520.38,12925058.5,1255211.755